"GLUTEN","SV","ASHCONTENT","AIA","BrokenStarch","MOISTURE","GRANLARITY","BiscuitPasteActual","ABCActual","WaterActual","DoughMoisture","Temperature","WetWeight","Zone1","Zone2","Zone3","Zone4","SteamDamper1","SteamDamper2","SteamDamper3","SteamDamper4"
"10.36915","20","0.6613","0.0336","6.2516","12.4624","87.9157","30.26","1.5","8.06","9.9003209292039","30","81.233","172.1","223","212.9","134.1","0","20","30","40"
"10.36915","20","0.6613","0.0336","6.2516","12.4624","87.9157","30.26","1.5","8.06","9.9003209292039","30","81.133","181.4","222.8","214.8","134.4","0","20","30","40"
"10.36915","20","0.6613","0.0336","6.2516","12.4624","87.9157","30.32","1.5","8.01","9.8996013580201","32","81.167","180.8","223.9","210.2","137.5","0","20","30","40"
"10.36915","20","0.6613","0.0336","6.2516","12.4624","87.9157","30.54","1.5","8.02","9.887817145101","31","81.267","170.9","224","214.6","137.6","0","20","30","40"
"10.36915","20","0.6613","0.0336","6.2516","12.4624","87.9157","30.54","1.501","8.02","9.8877645673887","31","80.933","184.6","222","209.3","133.8","0","20","30","40"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.567","178.1","220.6","214.4","132.3","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.667","176.6","218.7","214.3","129.3","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.5","174.9","217.4","213.1","124.8","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.7","174.7","217.2","213.1","123.6","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.733","174.9","217.4","212.7","123.1","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","80.5","175.2","218.4","213.4","122.7","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","81.2","174.7","217.3","213.9","122.3","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","81.6","174.7","216.9","214.8","122","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","13","9.4053637761203","30","81","175.5","218.4","214.7","122.9","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40","1.65","12.5","9.4261536939439","30","80.4","175.7","216.9","214.2","125.7","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40.04","1.65","12.04","9.4435443414465","30","81.067","176.3","218.2","213.3","127.2","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","40.08","1.654","12.52","9.4214968839639","30","80.967","176.3","218.1","214.1","127.2","0","10","50","50"
"10.51095","24","0.71815","0.0303","6.6219","12.72815","86.86785","42.05","1.65","12.56","9.3313915899043","30","80.8","176.3","218.3","212.4","127.2","0","10","50","50"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","20.02","1.6","12.53","10.509769969805","32","80.7","178.3","221.7","213.5","132.2","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","39.56","1.605","13.58","9.4695989088226","32","80.733","176.6","220.3","214.9","134.9","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40","1.5","12","9.52077106318","33","80.633","178.3","219.7","214.6","129.1","0","40","50","50"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40","1.597","13.54","9.4516280600322","31","80.867","176.1","219.9","214.7","134","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.04","1.654","13.55","9.4467467674322","32","81.333","177.4","220.7","213.8","133","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.06","1.597","12.5","9.4923708572279","32","80.866","177.6","219.8","213.3","132.3","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.06","1.599","12.48","9.4931171885911","32","81.467","177.2","220.3","213.7","132.5","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.1","1.552","13.5","9.4508468838793","32","80.933","179.1","222.2","214.6","136.6","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.1","1.61","13.55","9.4460712690832","32","81.067","179.1","223.4","214.3","139.6","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.1","1.613","13.6","9.4438547763982","32","81","177.7","221.6","213.5","135.7","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.12","1.503","13.52","9.4513867646853","32","81.333","176.9","219.9","214.2","133.3","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.18","1.615","13.52","9.4434592021853","32","80.7","177.8","221.7","213.8","135.7","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.2","1.6","12.52","9.4849818262007","32","80.867","177.8","219.7","213.3","132.2","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.25","1.6","12.52","9.4826953675864","30","80.767","171.5","217.1","213.4","121.7","0","50","50","50"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.42","1.599","13.63","9.4287833100467","31","80.767","178.7","221.7","213.6","136.1","0","20","30","40"
"10.5674","23.5","0.7865","0.03315","7.4771","12.81895","81.8925","40.96","1.606","12.52","9.4500699589943","32","80.7","178.1","220","213.9","132.1","0","20","30","40"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","19.99","1.5","10.53","10.673781118337","30","80.9","177.3","219.8","213.9","125.3","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","20","1.501","10.52","10.673679096413","30","80.633","178.5","218.9","208.5","122","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","39.98","1.501","10.61","9.6265556863935","29","80.8","184.2","225.4","209.4","132.2","0","10","30","30"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","12","9.5661626264554","30","80.867","178.4","226.7","214.1","140.8","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","12","9.5661626264554","30","80.4","176.1","219.9","209.6","136.1","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","12","9.5661626264554","30","80.667","175.7","218.5","210","134.5","0","20","50","20"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","12","9.5661626264554","30","81.3","176.1","218.6","210.9","123.5","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","81.067","176.6","219.3","209.1","122.2","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","81","177.2","217.8","208.4","122","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","80.467","177.2","218.7","212.9","124.2","0","10","30","50"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","80.867","178.9","224.1","210.4","129.8","0","10","30","40"
"10.5784","24","0.7623","0.0332","7.05925","12.88075","80.78105","40","1.5","10.5","9.6304088461538","30","80.3","183.2","227.2","208.4","131.2","0","10","30","30"
